0.005107941009410871--i.e.-5000/978868----time (s)-12.14
0.010215882018821742--i.e.-10000/978868----time (s)-41.59
0.015323823028232611--i.e.-15000/978868----time (s)-59.77
0.020431764037643484--i.e.-20000/978868----time (s)-76.4
0.025539705047054353--i.e.-25000/978868----time (s)-90.97
0.030647646056465222--i.e.-30000/978868----time (s)-100.1
0.035755587065876095--i.e.-35000/978868----time (s)-114.61
0.04086352807528697--i.e.-40000/978868----time (s)-126.21
0.04597146908469783--i.e.-45000/978868----time (s)-146.87
0.051079410094108706--i.e.-50000/978868----time (s)-157.64
0.05618735110351958--i.e.-55000/978868----time (s)-169.3
0.061295292112930444--i.e.-60000/978868----time (s)-175.4
0.06640323312234132--i.e.-65000/978868----time (s)-183.87
0.07151117413175219--i.e.-70000/978868----time (s)-192.94
0.07661911514116305--i.e.-75000/978868----time (s)-201.62
0.08172705615057393--i.e.-80000/978868----time (s)-206.69
0.0868349971599848--i.e.-85000/978868----time (s)-209.73
0.09194293816939567--i.e.-90000/978868----time (s)-264.58
0.09705087917880655--i.e.-95000/978868----time (s)-337.15
0.10215882018821741--i.e.-100000/978868----time (s)-400.11
0.10726676119762828--i.e.-105000/978868----time (s)-444.4
0.11237470220703916--i.e.-110000/978868----time (s)-536.47
0.11748264321645002--i.e.-115000/978868----time (s)-670.62
0.12259058422586089--i.e.-120000/978868----time (s)-836.47
0.12769852523527175--i.e.-125000/978868----time (s)-914.05
0.13280646624468265--i.e.-130000/978868----time (s)-1063.34
0.1379144072540935--i.e.-135000/978868----time (s)-1153.28
0.14302234826350438--i.e.-140000/978868----time (s)-1253.52
0.14813028927291524--i.e.-145000/978868----time (s)-1299.39
0.1532382302823261--i.e.-150000/978868----time (s)-1389.17
0.15834617129173698--i.e.-155000/978868----time (s)-1482.03
0.16345411230114787--i.e.-160000/978868----time (s)-1607.73
0.16856205331055873--i.e.-165000/978868----time (s)-1665.97
0.1736699943199696--i.e.-170000/978868----time (s)-1713.18
0.17877793532938047--i.e.-175000/978868----time (s)-1779.63
0.18388587633879133--i.e.-180000/978868----time (s)-1840.06
0.1889938173482022--i.e.-185000/978868----time (s)-1911.39
0.1941017583576131--i.e.-190000/978868----time (s)-1980.86
0.19920969936702396--i.e.-195000/978868----time (s)-2057.03
0.20431764037643482--i.e.-200000/978868----time (s)-2131.99
0.2094255813858457--i.e.-205000/978868----time (s)-2240.58
0.21453352239525655--i.e.-210000/978868----time (s)-2321.23
0.21964146340466742--i.e.-215000/978868----time (s)-2386.54
0.2247494044140783--i.e.-220000/978868----time (s)-2518.6
0.22985734542348918--i.e.-225000/978868----time (s)-2596.41
0.23496528643290004--i.e.-230000/978868----time (s)-2664.74
0.2400732274423109--i.e.-235000/978868----time (s)-2741.88
0.24518116845172178--i.e.-240000/978868----time (s)-2806.94
0.25028910946113264--i.e.-245000/978868----time (s)-2881.03
0.2553970504705435--i.e.-250000/978868----time (s)-2882.4
0.2605049914799544--i.e.-255000/978868----time (s)-2883.59
0.2656129324893653--i.e.-260000/978868----time (s)-2884.96
0.27072087349877616--i.e.-265000/978868----time (s)-2887.27
0.275828814508187--i.e.-270000/978868----time (s)-2952.44
0.2809367555175979--i.e.-275000/978868----time (s)-3054.41
0.28604469652700876--i.e.-280000/978868----time (s)-3148.78
0.2911526375364196--i.e.-285000/978868----time (s)-3214.7
0.2962605785458305--i.e.-290000/978868----time (s)-3285.19
0.30136851955524135--i.e.-295000/978868----time (s)-3362.21
0.3064764605646522--i.e.-300000/978868----time (s)-3410.59
0.3115844015740631--i.e.-305000/978868----time (s)-3466.83
0.31669234258347395--i.e.-310000/978868----time (s)-3545.12
0.3218002835928848--i.e.-315000/978868----time (s)-3616.06
0.32690822460229574--i.e.-320000/978868----time (s)-3687.06
0.3320161656117066--i.e.-325000/978868----time (s)-3823.19
0.33712410662111747--i.e.-330000/978868----time (s)-3941.4
0.34223204763052834--i.e.-335000/978868----time (s)-4052.57
0.3473399886399392--i.e.-340000/978868----time (s)-4184.61
0.35244792964935007--i.e.-345000/978868----time (s)-4264.12
0.35755587065876093--i.e.-350000/978868----time (s)-4367.91
0.3626638116681718--i.e.-355000/978868----time (s)-4450.12
0.36777175267758266--i.e.-360000/978868----time (s)-4525.42
0.37287969368699353--i.e.-365000/978868----time (s)-4601.76
0.3779876346964044--i.e.-370000/978868----time (s)-4706.49
0.38309557570581526--i.e.-375000/978868----time (s)-4787.71
0.3882035167152262--i.e.-380000/978868----time (s)-4930.4
0.39331145772463705--i.e.-385000/978868----time (s)-5103.22
0.3984193987340479--i.e.-390000/978868----time (s)-5261.36
0.4035273397434588--i.e.-395000/978868----time (s)-5435.64
0.40863528075286965--i.e.-400000/978868----time (s)-5607.02
0.4137432217622805--i.e.-405000/978868----time (s)-5744.96
0.4188511627716914--i.e.-410000/978868----time (s)-5898.85
0.42395910378110224--i.e.-415000/978868----time (s)-6067.0
0.4290670447905131--i.e.-420000/978868----time (s)-6159.68
0.434174985799924--i.e.-425000/978868----time (s)-6289.6
0.43928292680933484--i.e.-430000/978868----time (s)-6383.07
0.44439086781874576--i.e.-435000/978868----time (s)-6477.81
0.4494988088281566--i.e.-440000/978868----time (s)-6643.9
0.4546067498375675--i.e.-445000/978868----time (s)-6815.58
0.45971469084697836--i.e.-450000/978868----time (s)-6901.01
0.4648226318563892--i.e.-455000/978868----time (s)-6999.81
0.4699305728658001--i.e.-460000/978868----time (s)-7097.02
0.47503851387521095--i.e.-465000/978868----time (s)-7187.5
0.4801464548846218--i.e.-470000/978868----time (s)-7262.81
0.4852543958940327--i.e.-475000/978868----time (s)-7324.56
0.49036233690344355--i.e.-480000/978868----time (s)-7397.4
0.4954702779128544--i.e.-485000/978868----time (s)-7478.31
0.5005782189222653--i.e.-490000/978868----time (s)-7534.94
0.5056861599316762--i.e.-495000/978868----time (s)-7597.02
0.510794100941087--i.e.-500000/978868----time (s)-7664.96
0.5159020419504979--i.e.-505000/978868----time (s)-7666.29
0.5210099829599087--i.e.-510000/978868----time (s)-7667.46
0.5261179239693197--i.e.-515000/978868----time (s)-7668.5
0.5312258649787306--i.e.-520000/978868----time (s)-7669.48
0.5363338059881414--i.e.-525000/978868----time (s)-7670.5
0.5414417469975523--i.e.-530000/978868----time (s)-7671.48
0.5465496880069631--i.e.-535000/978868----time (s)-7744.67
0.551657629016374--i.e.-540000/978868----time (s)-7790.49
0.5567655700257849--i.e.-545000/978868----time (s)-7848.06
0.5618735110351958--i.e.-550000/978868----time (s)-7893.14
0.5669814520446066--i.e.-555000/978868----time (s)-7954.03
0.5720893930540175--i.e.-560000/978868----time (s)-8001.32
0.5771973340634283--i.e.-565000/978868----time (s)-8043.56
0.5823052750728392--i.e.-570000/978868----time (s)-8115.37
0.5874132160822501--i.e.-575000/978868----time (s)-8167.38
0.592521157091661--i.e.-580000/978868----time (s)-8203.99
0.5976290981010719--i.e.-585000/978868----time (s)-8245.79
0.6027370391104827--i.e.-590000/978868----time (s)-8302.17
0.6078449801198936--i.e.-595000/978868----time (s)-8349.49
