--0.0--i.e.-0/246158056----time (s)-0.0
--0.020312152611409964--i.e.-5000000/246158056----time (s)-290.95
--0.02051527413752406--i.e.-5050000/246158056----time (s)-293.8
--0.020718395663638162--i.e.-5100000/246158056----time (s)-296.49
--0.020921517189752263--i.e.-5150000/246158056----time (s)-299.45
--0.02112463871586636--i.e.-5200000/246158056----time (s)-302.48
--0.02132776024198046--i.e.-5250000/246158056----time (s)-305.41
--0.021530881768094562--i.e.-5300000/246158056----time (s)-308.68
--0.02173400329420866--i.e.-5350000/246158056----time (s)-311.79
--0.02193712482032276--i.e.-5400000/246158056----time (s)-314.58
--0.02214024634643686--i.e.-5450000/246158056----time (s)-317.45
--0.022343367872550958--i.e.-5500000/246158056----time (s)-320.07
--0.02254648939866506--i.e.-5550000/246158056----time (s)-322.99
--0.02274961092477916--i.e.-5600000/246158056----time (s)-325.94
--0.02295273245089326--i.e.-5650000/246158056----time (s)-328.73
--0.023155853977007358--i.e.-5700000/246158056----time (s)-332.86
--0.023358975503121458--i.e.-5750000/246158056----time (s)-335.82
--0.02356209702923556--i.e.-5800000/246158056----time (s)-339.0
--0.023765218555349656--i.e.-5850000/246158056----time (s)-341.74
--0.023968340081463757--i.e.-5900000/246158056----time (s)-344.42
--0.024171461607577858--i.e.-5950000/246158056----time (s)-347.61
--0.024374583133691955--i.e.-6000000/246158056----time (s)-350.44
--0.024577704659806056--i.e.-6050000/246158056----time (s)-353.44
--0.024780826185920157--i.e.-6100000/246158056----time (s)-356.48
--0.024983947712034254--i.e.-6150000/246158056----time (s)-359.16
--0.025187069238148355--i.e.-6200000/246158056----time (s)-362.28
--0.025390190764262455--i.e.-6250000/246158056----time (s)-365.01
--0.025593312290376553--i.e.-6300000/246158056----time (s)-367.88
--0.025796433816490653--i.e.-6350000/246158056----time (s)-370.87
--0.025999555342604754--i.e.-6400000/246158056----time (s)-373.72
--0.02620267686871885--i.e.-6450000/246158056----time (s)-376.56
--0.026405798394832952--i.e.-6500000/246158056----time (s)-379.41
--0.026608919920947053--i.e.-6550000/246158056----time (s)-382.34
--0.02681204144706115--i.e.-6600000/246158056----time (s)-385.34
--0.02701516297317525--i.e.-6650000/246158056----time (s)-388.16
--0.027218284499289352--i.e.-6700000/246158056----time (s)-390.99
--0.02742140602540345--i.e.-6750000/246158056----time (s)-393.79
--0.02762452755151755--i.e.-6800000/246158056----time (s)-397.17
--0.02782764907763165--i.e.-6850000/246158056----time (s)-400.32
--0.028030770603745748--i.e.-6900000/246158056----time (s)-403.59
--0.02823389212985985--i.e.-6950000/246158056----time (s)-406.6
--0.02843701365597395--i.e.-7000000/246158056----time (s)-409.21
--0.028640135182088047--i.e.-7050000/246158056----time (s)-412.19
--0.028843256708202147--i.e.-7100000/246158056----time (s)-415.08
--0.029046378234316248--i.e.-7150000/246158056----time (s)-417.88
--0.02924949976043035--i.e.-7200000/246158056----time (s)-421.42
--0.029452621286544446--i.e.-7250000/246158056----time (s)-424.38
--0.029655742812658547--i.e.-7300000/246158056----time (s)-427.25
--0.029858864338772648--i.e.-7350000/246158056----time (s)-430.12
--0.030061985864886745--i.e.-7400000/246158056----time (s)-432.82
--0.030265107391000846--i.e.-7450000/246158056----time (s)-436.13
--0.030468228917114946--i.e.-7500000/246158056----time (s)-438.98
--0.030671350443229044--i.e.-7550000/246158056----time (s)-442.26
--0.030874471969343145--i.e.-7600000/246158056----time (s)-444.99
--0.031077593495457245--i.e.-7650000/246158056----time (s)-447.71
--0.03128071502157134--i.e.-7700000/246158056----time (s)-450.75
--0.03148383654768544--i.e.-7750000/246158056----time (s)-453.55
--0.031686958073799544--i.e.-7800000/246158056----time (s)-456.85
--0.03189007959991364--i.e.-7850000/246158056----time (s)-459.99
--0.032093201126027746--i.e.-7900000/246158056----time (s)-463.2
--0.03229632265214184--i.e.-7950000/246158056----time (s)-466.14
--0.03249944417825594--i.e.-8000000/246158056----time (s)-469.18
--0.032702565704370044--i.e.-8050000/246158056----time (s)-472.01
--0.03290568723048414--i.e.-8100000/246158056----time (s)-474.94
--0.03310880875659824--i.e.-8150000/246158056----time (s)-477.98
--0.03331193028271234--i.e.-8200000/246158056----time (s)-480.51
--0.03351505180882644--i.e.-8250000/246158056----time (s)-483.42
--0.03371817333494054--i.e.-8300000/246158056----time (s)-486.18
--0.03392129486105464--i.e.-8350000/246158056----time (s)-489.2
--0.03412441638716874--i.e.-8400000/246158056----time (s)-492.17
--0.034327537913282836--i.e.-8450000/246158056----time (s)-494.96
--0.03453065943939694--i.e.-8500000/246158056----time (s)-497.83
--0.03473378096551104--i.e.-8550000/246158056----time (s)-500.71
--0.034936902491625135--i.e.-8600000/246158056----time (s)-503.53
--0.03514002401773924--i.e.-8650000/246158056----time (s)-506.3
--0.03534314554385334--i.e.-8700000/246158056----time (s)-509.39
--0.035546267069967434--i.e.-8750000/246158056----time (s)-512.14
--0.03574938859608154--i.e.-8800000/246158056----time (s)-515.18
--0.035952510122195636--i.e.-8850000/246158056----time (s)-517.89
--0.03615563164830973--i.e.-8900000/246158056----time (s)-520.85
--0.03635875317442384--i.e.-8950000/246158056----time (s)-523.58
--0.036561874700537934--i.e.-9000000/246158056----time (s)-526.27
--0.03676499622665203--i.e.-9050000/246158056----time (s)-529.23
--0.036968117752766136--i.e.-9100000/246158056----time (s)-532.23
--0.03717123927888023--i.e.-9150000/246158056----time (s)-535.14
--0.03737436080499433--i.e.-9200000/246158056----time (s)-539.34
--0.037577482331108435--i.e.-9250000/246158056----time (s)-542.29
--0.03778060385722253--i.e.-9300000/246158056----time (s)-545.23
--0.03798372538333663--i.e.-9350000/246158056----time (s)-548.0
--0.03818684690945073--i.e.-9400000/246158056----time (s)-550.87
--0.03838996843556483--i.e.-9450000/246158056----time (s)-554.2
--0.03859308996167893--i.e.-9500000/246158056----time (s)-556.89
--0.03879621148779303--i.e.-9550000/246158056----time (s)-559.72
--0.03899933301390713--i.e.-9600000/246158056----time (s)-562.6
--0.03920245454002123--i.e.-9650000/246158056----time (s)-565.34
--0.03940557606613533--i.e.-9700000/246158056----time (s)-568.13
--0.03960869759224943--i.e.-9750000/246158056----time (s)-573.53
--0.039811819118363526--i.e.-9800000/246158056----time (s)-576.36
--0.04001494064447763--i.e.-9850000/246158056----time (s)-579.36
--0.04021806217059173--i.e.-9900000/246158056----time (s)-582.36
--0.040421183696705824--i.e.-9950000/246158056----time (s)-585.78
--0.04062430522281993--i.e.-10000000/246158056----time (s)-588.98
--0.040827426748934026--i.e.-10050000/246158056----time (s)-591.91
--0.04103054827504812--i.e.-10100000/246158056----time (s)-594.94
--0.04123366980116223--i.e.-10150000/246158056----time (s)-597.79
--0.041436791327276325--i.e.-10200000/246158056----time (s)-600.45
--0.04163991285339042--i.e.-10250000/246158056----time (s)-603.26
--0.041843034379504526--i.e.-10300000/246158056----time (s)-606.16
--0.042046155905618623--i.e.-10350000/246158056----time (s)-608.99
--0.04224927743173272--i.e.-10400000/246158056----time (s)-611.85
--0.042452398957846825--i.e.-10450000/246158056----time (s)-615.07
--0.04265552048396092--i.e.-10500000/246158056----time (s)-617.79
--0.04285864201007502--i.e.-10550000/246158056----time (s)-620.47
--0.043061763536189124--i.e.-10600000/246158056----time (s)-623.38
--0.04326488506230322--i.e.-10650000/246158056----time (s)-626.25
--0.04346800658841732--i.e.-10700000/246158056----time (s)-629.28
--0.04367112811453142--i.e.-10750000/246158056----time (s)-632.95
--0.04387424964064552--i.e.-10800000/246158056----time (s)-636.01
--0.04407737116675962--i.e.-10850000/246158056----time (s)-639.01
